Name,Width,Height,Depth,Artist,Country,Price,Category
In Sync,100,100,0.5,Ellen Novara-da Lima,Netherlands,"$2,710",Digitals
Circle No.87,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Kamu,30,40,0.1,Rendi Ansyah,Indonesia,"$3,270",Digitals
Nuances XVI - Limited Edition of 3,80,100,4,Carla Sa Fernandes,Portugal,$700,Digitals
Shades of Blue 643,59.4,84.1,0.9,Steve Kalinda,United Kingdom,"$1,140",Digitals
Explosion (Bleeding butterfly),45,60,1,Petra Brnardic,Croatia,"$2,860",Digitals
Abstraction #165,200,100,3,Paslier Morgan,France,"$8,300",Digitals
SOLAR EYE,57.9,42.9,4.1,Anne Gracia,France,"$1,310",Digitals
Vincent goes Pop XV - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Vincent #2343,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
Kissing,100,100,0.5,Ellen Novara-da Lima,Netherlands,"$2,710",Digitals
Across the Universe 2 - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Smoking Hot Frida,61,50.8,1.3,Boo Deity,United States,$980,Digitals
Nuances XII,90,90,4,Carla Sa Fernandes,Portugal,"$1,000",Digitals
Anagraphies II,103.1,50,4.1,Anne Gracia,France,"$1,410",Digitals
Vincent #1365 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances XXVI - Limited Edition of 7,80,80,4,Carla Sa Fernandes,Portugal,$550,Digitals
Study for Convergence - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Nuances XIV - Limited Edition of 25,80,80,4,Carla Sa Fernandes,Portugal,$415,Digitals
Current_Vision - Limited Edition of 1,71.1,40.6,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Fleur nouvelle,52,59.4,0.3,Laura Normand,,$160,Digitals
Vincent #1426,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
miss orange,82,120,5,yossi kotler,Israel,"$5,040",Digitals
Genetechprogrart - Limited Edition of 1,50.8,61,0.3,Rachelmauricio Castro,Brazil,$690,Digitals
Looped - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Can't You Clean Your Own Fucking Mess?,93.5,124,0,Liz Mares,United States,"$2,315",Digitals
The Saint Skull with Laser Beams (Vincent #651),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Nuances XXIX - Limited Edition of 1,152.5,121.9,4,Carla Sa Fernandes,Portugal,"$2,160",Digitals
Kinky Fudge - Limited Edition of 5,81.3,121.9,0.3,Donald Okudu,Nigeria,"$2,710",Digitals
Stage - Limited Edition of 1,53.3,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
design electrical circuits,100,100,1,Norman ritchie,Chile,"$1,410",Digitals
New Roads Sunflower,55.9,43.2,0.3,Jill Lear,United States,$215,Digitals
Vincent #527 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Vincent #1508,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
Abstract in Blue-Orange,40.6,40.6,1.3,Marc VanDermeer,United States,$495,Digitals
A Stronger Connection - Limited Edition of 1,40.6,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #994 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
"The Other Avatars NFT, Vincent #676",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
MY LITTLE POOL,60,80,0.1,Mr STRANGE Jean-Marie GITARD,France,$430,Digitals
Blue Venus Virtual Sculpture - Limited Edition,50,70,0.2,Francesca Fini,Italy,$655,Digitals
Nuances XXXIV,100,120,4,Carla Sa Fernandes,Portugal,"$1,440",Digitals
(Elvis) Suspicious Conversation,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
"The Other Avatars, Skull of Skeleton #1910",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Nuances IX,80,80,4,Carla Sa Fernandes,Portugal,$800,Digitals
COMPOSITION TIDE,30,40,0.1,Leonardo Lima,,$250,Digitals
Vincent van Gogh 4,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Nuances XXVII - Limited Edition of 25,60,60,4,Carla Sa Fernandes,Portugal,$385,Digitals
The Whip,90.4,126,0.3,Liz Mares,United States,"$2,184",Digitals
EPHEMERAL I Unique,78,73.9,4.1,Anne Gracia,France,"$2,410",Digitals
"The Other Avatars NFT, Vincent #2107",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
The Other Avatars NFT Art #2046,40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Column by Column - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nuances I,90,90,4,Carla Sa Fernandes,Portugal,$600,Digitals
Energy Exchance - Limited Edition of 5,61,45.7,0.3,Allison Bagg,United States,$545,Digitals
Constantly Adjusted,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Other Avatars Vincent #1931,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Live Coding - Limited Edition of 1,71.1,58.4,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Retails II - Infogravure 1/30(Signed and Numbered by Hand),75,100,3,Juca Máximo,Brazil,$840,Digitals
Lecherous Fudge - Limited Edition of 5,81.3,121.9,0.3,Donald Okudu,Nigeria,"$2,710",Digitals
"selection, and temporary disappearance-20",135,87,0.2,BONGUK LEE,South Korea,"$3,770",Digitals
Arborescence III-,119.9,168.9,6.1,Anne Gracia,France,"$2,460",Digitals
ORIGINAL EARTH IV,80,91.9,1,Anne Gracia,France,"$1,810",Digitals
Infinite Variations,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Smoking Skull (Vincent #1002),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
"The Other Avatars NFT Art, Vincent #55",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Multnomah Falls (on acid) - Limited Edition of 5,45.7,61,0.3,Allison Bagg,United States,$395,Digitals
TIDE,30,40,0.1,Leonardo Lima,,$250,Digitals
The Waves within The Waves #5,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Another Vincent,55,65,1,Oscar Nin,Spain,"$1,360",Digitals
Nuances XXX,152.5,121.9,4,Carla Sa Fernandes,Portugal,"$2,160",Digitals
HLCA (High Level Creative Activity),50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Skull in Outer Space (Vincent #401),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
SEA OF INK II,57.9,42.9,3,Anne Gracia,France,"$1,310",Digitals
Shape of Emotion 09,59.4,84.1,0.1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Nubian Fudge - Limited Edition of 1,81.3,121.9,0.3,Donald Okudu,Nigeria,"$3,270",Digitals
"The Other Avatars, Skull NFT Art #1332 - Limited Edition of 5",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Hidden Vincent #2,50,50,0.3,Astrid Stoeppel,Germany,$550,Digitals
Vincent #2506,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
Creative Prompts,40.6,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Marilyn as Chérie Ledoux,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
Nuances LIV,152.5,121.9,4,Carla Sa Fernandes,Portugal,"$2,160",Digitals
bloom 1 - Limited Edition of 10,70,100,0.1,Martina Niederhauser-Landtwing,Switzerland,$900,Digitals
Vincent goes Pop XII - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Shades of Azul 563,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
untitled 3,70,100,2,Rym Magdi,,$500,Digitals
"The Other Avatars NFT Art, Vincent #839",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
The Technique of Creating - Limited Edition of 1,55.9,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent goes Pop IX - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
The Other Avatars #780,24.9,24.9,2,Karenina Fabrizzi,Spain,$370,Digitals
