Name,Width,Height,Depth,Artist,Country,Price,Category
Willipa Bay Grid 1,91.4,45.7,2.5,Howard Spector,United States,$930,Digitals
theatre,70,50,5,Feyza Soydan Yazici,Turkey,$900,Digitals
"SCORPIO  ""ZODIAC"", Women Goddess Of Nature",40.6,50.8,5.1,AUGUSTO SANCHEZ,United States,$465,Digitals
Hodl Norm,61,50.8,1.3,Boo Deity,United States,$980,Digitals
Sekigahara,88.9,39.9,0.3,Klaus Rudolph,Germany,$940,Digitals
Spray Paint & Bjork  - Limited Edition of 1,40,50,0.1,Sheena Lennox,United Kingdom,"$1,130",Digitals
Vincent #1441 - Limited Edition of 1,80,80,3,Sait Mingü,Turkey,"$3,275",Digitals
Saint Theresa,50,70,1,Petra Brnardic,Croatia,"$3,380",Digitals
1060antique art collection,152.4,121.9,2.5,Antique Art Collection,Denmark,"$7,550",Digitals
Procesing No.31,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
NOWA.I.PAINT_2022_B12_01,60,100,0.1,Tibor Andriska,Hungary,$580,Digitals
Blue noise III,29.4,21,0.1,Christian Fromhein,Germany,$401,Digitals
The Sky above Phantasia,96.3,39.9,0.3,Klaus Rudolph,Germany,$940,Digitals
Van Go Pop 10 - Original on Canvas,147.3,147.3,2.5,Agent X,Canada,"$3,645",Digitals
Bifocal - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Vegetable Coup. Motion One.,30,40.1,0.5,Yulia Andreeva,Bulgaria,$200,Digitals
Singaar_2,83.8,61,0.3,Aatmica Ojha,United States,$524,Digitals
City Dive,30.7,39.4,2,Lavinia Wanjau,,"$1,430",Digitals
untitled 17,70,100,2,Rym Magdi,,$500,Digitals
Sadness,86.4,86.4,0.1,Mohammad Oweini,Lebanon,"$4,270",Digitals
Procesing No.5,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
jungle,70,70,1,Giulio Iurissevich,Italy,"$1,720",Digitals
etch*,91.4,121.9,0,Luciano Guerra,United States,"$4,210",Digitals
Seven,30,40,0.1,Manuel Valle,Colombia,$320,Digitals
The unconsciously,80,60,2,Jovana Braletić,Serbia,$320,Digitals
420,24,36,1,Jeffie Magina,Kenya,$420,Digitals
February,66,71.1,2,Kin Karol Fetalver,Philippines,"$1,059",Digitals
ON/OFF series: Observe,59.4,42,3,Vincent Y,Hong Kong,"$1,660",Digitals
nature and life,100,100,1,Norman ritchie,Chile,"$1,410",Digitals
connected universe,100,100,1,Norman ritchie,Chile,"$1,360",Digitals
As if ----,91.4,77,3.8,Andy Joynes,United Kingdom,"$3,800",Digitals
Nikola Šrajerová - talisman mandala Love 5 Artwork,50,50,4,Nikola Šrajerová,Czech Republic,"$1,660",Digitals
Lines and colors,10403.8,10403.8,2.5,Marcelo Schatzmann,,"$1,430",Digitals
picasso Style Digital Drawing potrait 0033,40,40,5,Timotius Suwarsito,Indonesia,$170,Digitals
Composition Y,58.4,83.8,0.3,Paul Manwaring,United Kingdom,$267,Digitals
Brains Exchange (Version no 5),108.7,70,0.1,Mario Ubaldino,Italy,$980,Digitals
Van Gogh Twelve - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
Burning Heart,54,80,1,Petra Brnardic,Croatia,"$3,490",Digitals
Unconsciously,80,60,1,Jovana Braletić,Serbia,$260,Digitals
Crypto Yeezy 06_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Números rojos (in the red),70,100,0.1,Javier Aristu,Spain,$380,Digitals
11.10.2010 (2),40,30,0,isa levy,United Kingdom,$160,Digitals
O,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Hallo Baby,25.4,30.5,0.3,Kiki Godi,,$225,Digitals
Pretty Stain,344.6,168,0.3,Noor Alvi,Pakistan,$310,Digitals
Limited Edition: Mouthwash #3,70,100,0.1,R - three three eerht - US art,United Kingdom,$499,Digitals
WEIGHTLESSNESS,60,80,8,Sara Lisa,France,"$2,250",Digitals
Transparency 2,50,70,0.1,René van den Berg,Netherlands,$290,Digitals
Australian Shepherd Dog,30.5,40.6,3.8,dinh nhat,,$160,Digitals
Liquid,76.2,76.2,2.5,Oscar Gml,Mexico,$580,Digitals
Fallen from Grace,76.2,152.4,2.5,kaelyn Rene,,"$20,750",Digitals
Temple (Foam-Backed Giclee Print),25.4,38.1,0.2,Dara M Wilson,United States,$265,Digitals
Concentric disturbance of the water surface,100,100,0.8,Marc Van Ranst,Belgium,"$1,060",Digitals
...Heraclitus said to me...,33,48,0.1,ertugrul Kahriman,France,$210,Digitals
Entracte,35,42,3,Debora Barnaba,Italy,$760,Digitals
"""Spiritual Water"" - Abstract Digital Art",83.8,58.4,0.3,Paul Manwaring,United Kingdom,$185,Digitals
Goddess of Rebirth/AM,63.5,63.5,0.3,James Mackey,United States,$165,Digitals
Disturbed,45.7,61,7.6,Arnab Roy,India,$729,Digitals
To Smoke is for Fools (Version no1),90.5,90,0.1,Mario Ubaldino,Italy,$800,Digitals
Humanimal Anatomy no.1,63,95,0.1,Prapat Jiwarangsan,Thailand,$690,Digitals
MEDUSA #4,121.9,121.9,0.3,Serge Tardif,Canada,"$1,430",Digitals
Van Gogh Eighteen - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
Van Gogh Fourteen - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
Van Gogh Six - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
MRS ANNA,100,150,5,ANTONIO PICO,,"$7,050",Digitals
House and Poppies,53.3,43.2,1.8,Rene Smoller,,$660,Digitals
Procesing No.1,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
My Colorful Africa #24,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
Chain XII,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
Chain VII,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
A Touch of Yellow,66,66,1,Kin Karol Fetalver,Philippines,$820,Digitals
A Touch of Gray and Black,66,66,1,Kin Karol Fetalver,Philippines,$820,Digitals
A Touch of Violet,66,66,1,Kin Karol Fetalver,Philippines,$820,Digitals
Saga of Kandinsky I # 120006,100,100,0.1,Richard Vachtenberg,Lithuania,"$3,070",Digitals
FORCED LIGHT 3,60,60,0.1,Paul Harrison,,$975,Digitals
INNERLIGHT,60,80,8,Sara Lisa,France,"$2,460",Digitals
Bull In The Heather (Kim Gordon),50,70,0.2,Jaume Serra Cantallops,Spain,$740,Digitals
My Colorful Africa #1,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
Majorelle Gardens #5,60,60,0.1,Vasco Grilo,,$190,Digitals
Mountain Jam,40.6,40.6,0.3,Robert Meganck,United States,$150,Digitals
Berlin Copenhagen 37,101.6,101.6,2.5,Howard Spector,United States,"$2,170",Digitals
Light Eaters,74.9,39.9,0.3,Klaus Rudolph,Germany,$840,Digitals
The Consumerism of Divinities,90,114,0.1,Mario Ubaldino,Italy,$920,Digitals
Metallic Canvas with Floating Frame | Pattern No. 29,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Andalusian,50,50,0.3,Nikolay Devnenski,Germany,$525,Digitals
Citroen 2CV vintage,39,26.2,0.1,Nikolay Devnenski,Germany,$190,Digitals
Fruitful Jeronimus,22.3,39,0.1,Nikolay Devnenski,Germany,$190,Digitals
St. Bartholomew's Day,34,50,1,Petra Brnardic,Croatia,"$3,840",Digitals
Phoenix Effect,53,80,0.1,Petra Brnardic,Croatia,"$3,440",Digitals
generate creation,50.8,71.1,0.3,Pop Up Art,Brazil,$199,Digitals
Ocean Balance,100,100,3.8,Steven Sandner,Australia,$754,Digitals
THE TURQUOISE HAND 133,30.5,30.5,2.5,aleks rosenberg,,$385,Digitals
Another civilization # 110001,150,100,0.1,Richard Vachtenberg,Lithuania,"$5,450",Digitals
Stacked Rocks (Foam-Backed Giclee Print),25.4,38.1,0.2,Dara M Wilson,United States,$265,Digitals
Tatarka,40,60,1.5,Dina Valeeva,,$510,Digitals
Forsake,100,150,10,Nabila Leguizamon,,$375,Digitals
lorca and flamenco,100,100,1,Norman ritchie,Chile,"$1,460",Digitals
"Being a Bubble, Isn't As Easy As It Looks!",76.2,76.2,1.9,Bill Zielinski,United States,"$1,211",Digitals
Quake,96,39.9,0.3,Klaus Rudolph,Germany,$940,Digitals
Training Break,42,59.4,0.1,Reimund Konrad,Germany,$690,Digitals
Hungary 11 Grid,182.9,61,2.5,Howard Spector,United States,"$2,670",Digitals
Abstract Robot,25.4,25.4,1.3,Marc VanDermeer,United States,$180,Digitals
S.MNG.001,24,24,0.1,yunus emre sarı,Turkey,$240,Digitals
KONG 10,18,27,0.2,Freegar Net,Mexico,$250,Digitals
Vegetable coup. Motion Two.,40.1,30,0.5,Yulia Andreeva,Bulgaria,$200,Digitals
Girls5,40,30,1,Tatiana Trippett,United Kingdom,$940,Digitals
Pandora's Box,30,43.3,0,Isabella Thermes,Germany,$380,Digitals
Lunch Line,1500,1300,0.1,KxMx Lane,,"$3,850",Digitals
The Only Queen - Lady Diana (Mélange Version no2),94.7,90,0.1,Mario Ubaldino,Italy,$850,Digitals
GARABATING 119,39.4,52.5,1,Carlos Aznar,Spain,"$1,040",Digitals
Kaia Jordan Gerber,58.4,58.4,0.3,Juliana Rodríguez,United States,"$1,080",Digitals
Kamashetra: Flight,91.4,43.2,0.3,Nipun Mohan,India,$480,Digitals
Abstract Robot,25.4,25.4,1.3,Marc VanDermeer,United States,$180,Digitals
S.MNG.001,24,24,0.1,yunus emre sarı,Turkey,$240,Digitals
KONG 10,18,27,0.2,Freegar Net,Mexico,$250,Digitals
Vegetable coup. Motion Two.,40.1,30,0.5,Yulia Andreeva,Bulgaria,$200,Digitals
Girls5,40,30,1,Tatiana Trippett,United Kingdom,$940,Digitals
Pandora's Box,30,43.3,0,Isabella Thermes,Germany,$380,Digitals
Lunch Line,1500,1300,0.1,KxMx Lane,,"$3,850",Digitals
The Only Queen - Lady Diana (Mélange Version no2),94.7,90,0.1,Mario Ubaldino,Italy,$850,Digitals
GARABATING 119,39.4,52.5,1,Carlos Aznar,Spain,"$1,040",Digitals
Kaia Jordan Gerber,58.4,58.4,0.3,Juliana Rodríguez,United States,"$1,080",Digitals
Kamashetra: Flight,91.4,43.2,0.3,Nipun Mohan,India,$480,Digitals
Filly N.2,101,135,0.1,Erkan Cerit,Turkey,$700,Digitals
Berlin Copenhagen 2,111.8,111.8,2.5,Howard Spector,United States,"$2,420",Digitals
Comunity II,70,124,0.1,Cristina Roldán,Spain,$570,Digitals
Ai,90,60,0.1,Tobias Ginski,,"$1,460",Digitals
Obscure Mystery,76.2,50.8,0.3,Elite Art,Australia,"$1,200",Digitals
Graceful,76.2,50.8,0.3,Elite Art,Australia,"$1,250",Digitals
Nascimento n° 2,60,60,0.2,Marco Mattiuzzi,Italy,"$1,360",Digitals
1316 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
"The Other Avatars, Skull of a Skeleton, Vincent #2022",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
FILLMEWITHBEAUTY - Limited Edition 1 of 5,59,84,1,Steve Kalinda,United Kingdom,$810,Digitals
architecture and history of a past,100,100,1,Norman ritchie,Chile,"$1,510",Digitals
Madonna Mia X,30,40,0.1,Dima Antonov,,$580,Digitals
Cello. No.3,27.6,42.1,0.1,PAUL DICKINSON,,"$1,580",Digitals
nuded anime portrait girl photo set,50,70,3,saifeddin salim,Turkey,$230,Digitals
Ultra flavor,100,100,0.1,Mariano Seib,Argentina,"$1,560",Digitals
Expressionist 04 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
SuperNova (00002),63.5,63.5,0.3,Rozita Fogelman,United States,$295,Digitals
My Colorful Africa #17,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
JR93-Geometric-abstract-4356,60,60,0.1,Norka Ocopio,Spain,"$1,188",Digitals
The Window,100,100,0.1,Ruzaimi Mat Rani,Malaysia,"$11,000",Digitals
Romeo And Juliet In The Modern World,15,20,0.1,Kristina Vinokur,Czech Republic,$940,Digitals
walker experiment,70,50,1,Norman ritchie,Chile,"$1,260",Digitals
Swimmers #5,120,80,1,Lior Patel,Israel,"$3,375",Digitals
Circle No.82,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
"Zones Urbaines, Londre - (Inkjet Print)",121.9,121.9,0.3,Serge Tardif,Canada,"$1,430",Digitals
FUTURE REBOOT - Limited Signed Edition of 10,91.4,91.4,0.3,Paul Manwaring,United Kingdom,$289,Digitals
The Universe 16,42,45,0.1,Pia Bandit,Sweden,$200,Digitals
Vegetable Coup. Space One.,30,40.1,0.5,Yulia Andreeva,Bulgaria,$200,Digitals
Erzsebet Bathory,45,60,0.1,Petra Brnardic,Croatia,"$3,070",Digitals
Singaar_3,83.8,61,0.3,Aatmica Ojha,United States,$514,Digitals
River Run,17,20,0.1,Lavinia Wanjau,,"$1,430",Digitals
Profile,76.2,101.6,0.1,Mohammad Oweini,Lebanon,"$3,270",Digitals
STRETCHING 210,27.9,30.5,2.5,aleks rosenberg,,$395,Digitals
SNAKE OIL 500 MG,42,59,0.1,Jonathan Wain,,$170,Digitals
cubic,100,100,1,Norman ritchie,Chile,"$1,560",Digitals
Blue noise III,21,29.4,0.1,Christian Fromhein,Germany,$401,Digitals
Swirl,76.2,76.2,2.5,Oscar Gml,Mexico,"$1,140",Digitals
Formes & Shapes,50,70,1,René van den Berg,Netherlands,$290,Digitals
Green Honor,210,297,0.1,R M,Germany,$860,Digitals
unfinished agreement,70,70,1,Norman ritchie,Chile,"$1,410",Digitals
Minotaur,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Transitional forms - hand embellished giclée print,39,35,1,Lila Chatfield,United Kingdom,$379,Digitals
Caricature from photo,20,30,0.1,Kirk Kirchev,United Kingdom,$160,Digitals
Relaxing..,50.8,91.4,0.3,Aatmica Ojha,United States,$495,Digitals
She Character 04,11480.8,11430,254,Shedesignstudio Graphic design studio,,"$15,000",Digitals
ABSTRACT ART SKULL FRAMED #007,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
Koan # 5,70,50,0.1,Yancho Sabev,Belgium,$580,Digitals
KONG 6,18,27,0.2,Freegar Net,Mexico,$250,Digitals
picasso Style Digital Drawing potrait 0025,40,40,5,Timotius Suwarsito,Indonesia,$170,Digitals
Floral Delight,76.2,50.8,0.3,Elite Art,Australia,"$1,250",Digitals
Humanimal Anatomy no.3,63,95,0.1,Prapat Jiwarangsan,Thailand,$690,Digitals
Your Absence Constricts My Heart (•دلم برات تنگ شدہ•),25.4,35.6,0.3,Abid Ur Rehman,,$909,Digitals
rest and dreams,100,100,1,Norman ritchie,Chile,"$1,510",Digitals
Jump,72,40,1,Claudio Dell'Osa,Italy,$610,Digitals
Singaar,83.8,61,0.3,Aatmica Ojha,United States,$544,Digitals
Serotonin,86.4,86.4,0.1,Mohammad Oweini,Lebanon,"$4,270",Digitals
Edge Of The World,61,61,0.1,Mohammad Oweini,Lebanon,"$11,000",Digitals
Pam Pam,50,70,2,Jaume Serra Cantallops,Spain,$510,Digitals
Windows of Life,61,91.4,1,Kin Karol Fetalver,Philippines,$820,Digitals
Angel and devil,60,90,2,The vanilla croissantVip Person,Bulgaria,"$1,660",Digitals
ABSTRACT ART FACE FRAMED #049,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
Circle No.94,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
The Imaginary London Fire (Victorian Gentleman N1),39,39,0.1,Igor Zeiger,Israel,$800,Digitals
Girls1 a,40,30,1,Tatiana Trippett,United Kingdom,"$1,380",Digitals
GARABATING 129,42,59.4,1,Carlos Aznar,Spain,"$1,040",Digitals
Gbek3bii K3 Nshor tsuru - The Children & The Red Sea,52.1,35.6,3.8,Mad Creative,Ghana,$330,Digitals
7.11.3B,130,100,1,Elis RIMEL,,"$1,140",Digitals
Money - Essence Collection,80,123.7,0.1,Mario Ubaldino,Italy,$759,Digitals
TheTellTaleHeart2Blue,76.2,76.2,10.2,dan sheldon,United States,$445,Digitals
7.10.2010,40,30,0,isa levy,United Kingdom,$160,Digitals
Instagram,61,61,0.1,Mohammad Oweini,Lebanon,"$3,270",Digitals
Painted Bunting!,61,61,1.9,Bill Zielinski,United States,"$1,099",Digitals
BlackGold,91,91,0.1,Damola Eniola,Nigeria,"$1,350",Digitals
Innocence and Purity,63.5,63.5,1,Kin Karol Fetalver,Philippines,"$2,609",Digitals
Happiness is a Warm Gun,100,100,3,Thomas Dellert-Dellacroix,Italy,"$5,250",Digitals
Circle of the Monoliths #1 - Original Giclee Print,83.8,58.4,0.3,Paul Manwaring,United Kingdom,$246,Digitals
ABSTRACT ART FACE FRAMED #037,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
Helena,42,59.4,0.1,Reimund Konrad,Germany,$170,Digitals
afogada,1.3,0.8,1.3,c TanLli,,$150,Digitals
Andromeda Nebula,80,60,2,Hala Elnaggar,Egypt,$840,Digitals
Fishdom,45,80,0.1,Rojeh Maher,Egypt,$580,Digitals
Secret Garden,50,70,0.1,Slaven Orsolic,,$440,Digitals
Fr Ee D,6350,5080,0.3,Allen Cruz,United States,"$20,000",Digitals
Flamingos and courtship dance,45.7,68.6,0.3,Devine Arts,India,"$16,385",Digitals
Pull Your Research Together 09— 2020,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
Limited Edition: Just Lacing It,75,100,0.1,R - three three eerht - US art,United Kingdom,$499,Digitals
Enhanced checkerboard V,21,29.4,0.1,Christian Fromhein,Germany,$231,Digitals
Chain IV,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
Two Socks,91.4,61,0.3,Del Gonzales,,$880,Digitals
Saga of Kandinsky I # 120003,100,100,0.1,Richard Vachtenberg,Lithuania,"$3,570",Digitals
la famille,203.2,127,0.3,Frédéric Font,France,$589,Digitals
Ladies with Cake,30.5,30.5,2.5,Tara Knoll,,$235,Digitals
Eros - II,32.5,42.5,3.5,Marly Inigo,France,$170,Digitals
Maiao,60,91,3,Caroline Alexandre,,$900,Digitals
Lighthouse,29.7,42,0.2,Hristo Yordanov,United Kingdom,$260,Digitals
flowers in rain with water drops,60,45,1,Dzintra Regina Jansone,,$200,Digitals
Dantes Drop,29,42,0.1,David Gill,United Kingdom,$212,Digitals
DeForestation,45.7,61,2.5,Arnab Roy,India,"$1,309",Digitals
The thin Ice of Life,59.2,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
JTA0001-20,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
Whaam of tomorrow,50,50,0.3,Nikolay Devnenski,Germany,$525,Digitals
Study for a portrait of Queen Elizabeth II,75,100,2,Alexander Van Glitch,Italy,$960,Digitals
time,100,100,1,Norman ritchie,Chile,"$1,510",Digitals
Crypto Speed Collection 01_SOS_2022_OR,101.6,101.6,0.5,ANDY H JUNg,South Korea,"$2,210",Digitals
56789076,28.7,42.3,0.1,Dima Antonov,,$580,Digitals
The Adventures Of Lulù,80,80,0.1,Massimo Grassi,,$460,Digitals
La curieuse,152.4,203.2,0.5,Frédéric Font,France,$560,Digitals
The pain at the bottom of the glass,30,30,1,João Luiz Belo de Moraes,Brazil,$200,Digitals
Emerald City,45.7,61,1.8,Rene Smoller,,"$1,080",Digitals
Sardinia Beach 70s,30,40,0.1,Giuseppe Lucano,Italy,$270,Digitals
Blue Unknown,76.2,101.6,0.3,Color out of Place,Canada,"$2,210",Digitals
Not Typical: Still 20,50.8,50.8,0.1,Aimee Timpson,Australia,$190,Digitals
She Character 06,11480.8,11430,254,Shedesignstudio Graphic design studio,,"$15,000",Digitals
Crypto,7620,7620,2.5,Marcelo Schatzmann,,"$1,430",Digitals
VG (Vincent #1349) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
1880 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
The beauty of the All-Time Circus,50,50,0.3,Nikolay Devnenski,Germany,$525,Digitals
Clay body №1 Limited Edition 1 of 9 Artworks,78.8,100,0.4,Roksolana Deineha,Ukraine,"$1,560",Digitals
1007antique art collection,76.2,127,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
She and monster,60,90,2,The vanilla croissantVip Person,Bulgaria,"$1,460",Digitals
Landscape,4724.4,5748,0.3,Maria Lina,Pakistan,$650,Digitals
sober1,76.2,76.2,10.2,dan sheldon,United States,$233,Digitals
Limited Edition: Stuck in the light,75,100,0.1,R - three three eerht - US art,United Kingdom,$499,Digitals
Spider Art II,50,60,0.3,Lascaz Pop Art,France,$750,Digitals
Petals of Violet,87.4,123.7,0.3,Noor Alvi,Pakistan,$380,Digitals
Elastic Band III,50,70,0.2,Jaume Serra Cantallops,Spain,$510,Digitals
Red noise IV,29.4,21,0.1,Christian Fromhein,Germany,$401,Digitals
Phantom,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
New Boho Shapes 1,50,50,0.1,Gad Laniado,Brazil,$580,Digitals
Blac Povver II,100,140,0.3,FRANCESA Ana França,Brazil,$490,Digitals
"Silver Birches at Tate Modern, London",24,33,0.1,adrian chappell,United Kingdom,$160,Digitals
architecture of a past,100,100,1,Norman ritchie,Chile,"$1,360",Digitals
Unofficial Glamping & Camping Festival Map A3 Print 2022,29.7,29.7,0.3,Vincent Artist,United Kingdom,$200,Digitals
Hanyauku,50,50,5,Daniele Chiari,Italy,$720,Digitals
Beyond the stars,21,29.8,0.3,Samarah Tariq,,$150,Digitals
DIE WEISHEIT,80,100,0.3,Magnum Ferra,Germany,"$1,140",Digitals
Thatched House Digital Artwork,44.5,86.9,8,Masud Rana Parvaz,,"$1,790",Digitals
JTA0001-006,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
Blac Povver I,100,140,0.3,FRANCESA Ana França,Brazil,$490,Digitals
1120 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
Erotic Study,50,50,0.3,Nikolay Devnenski,Germany,$525,Digitals
The Beating Heart ! - Not Giving Up On Life !!,61,76.2,0.3,Aatmica Ojha,United States,$635,Digitals
Sky,20,30,1,Petra Brnardic,Croatia,"$3,340",Digitals
Moon Sisters,90,58,1,Petra Brnardic,Croatia,"$3,600",Digitals
Flow,61,61,2.5,Ibrahim Sawel,Pakistan,$979,Digitals
Chain X,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
Chain V,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
Red Anger,210,297,0.1,R M,Germany,$860,Digitals
Expressionist 03 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
Majorelle Gardens #7,60,60,0.1,Vasco Grilo,,$190,Digitals
Commissioned Caricature from photo,20,30,0.1,Kirk Kirchev,United Kingdom,$160,Digitals
Tiger! Tiger!!,40,40,1,Poe Plastic Arts,,$170,Digitals
Pattern 2,61,61,2.5,Howard Spector,United States,$930,Digitals
Crossroads - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Bat Queen,39,52,1,Petra Brnardic,Croatia,"$3,140",Digitals
1055antique art collection,91.4,152.4,2.5,Antique Art Collection,Denmark,"$11,000",Digitals
The Queen's Melancholy,53.7,61.2,2,Isabella Thermes,Germany,$410,Digitals
The Secret Pond,76.2,101.6,3.8,Katy Tackes,United States,"$1,970",Digitals
valleys of oblivion,100,100,1,Norman ritchie,Chile,"$1,510",Digitals
untitled 14,70,100,2,Rym Magdi,,$500,Digitals
Les soeurs,152.4,228.6,0.5,Frédéric Font,France,$609,Digitals
Sightings,76.2,50.8,2.8,Leigh Nelson,Canada,$910,Digitals
A cocacola affair,41,59,1,Jeffie Magina,Kenya,$170,Digitals
My Regret,132.3,132.3,0.1,Waldemir Espindola,,"$2,210",Digitals
Cyclops,35,40,0.1,Rendi Ansyah,Indonesia,$500,Digitals
Sun and Moon - Abstract Modern Print,83.8,58.4,0.3,Paul Manwaring,United Kingdom,$279,Digitals
JTA0001-013,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
Set of Variables,53.3,53.3,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Augmented Reality Vantoinette - Limited Edition of 1,50,50,0.2,Francesca Fini,Italy,"$1,260",Digitals
Crypto Speed 04_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Blue noise V,29.4,21,0.1,Christian Fromhein,Germany,$401,Digitals
Balance II,30,40,1,Isabella Thermes,Germany,$270,Digitals
Saga of Kandinsky I # 120002,100,100,0.1,Richard Vachtenberg,Lithuania,"$3,070",Digitals
gothic house,40.6,53.3,2.5,Silvia Baldi,Italy,$479,Digitals
Sea,60,60,0.1,Tobias Ginski,,$990,Digitals
Toau,60,91,3,Caroline Alexandre,,$920,Digitals
With the disappearing family_002,150,95,0.3,BONGUK LEE,South Korea,"$4,950",Digitals
With the disappearing family_22if we dance together,180,100,1,BONGUK LEE,South Korea,"$8,110",Digitals
parametro,100,100,1,Norman ritchie,Chile,"$1,260",Digitals
Akahai,50,50,5,Daniele Chiari,Italy,$540,Digitals
Europe 12 x 12 13,111.8,111.8,2.5,Howard Spector,United States,"$2,420",Digitals
Inside Eye,100,100,1,Joaquin Alonso,Spain,$230,Digitals
500,297,420,0.1,Tibor Hunka,Hungary,$760,Digitals
"""Autumnal Landscape""",50.8,35.1,0.3,Gordon Tanner,United States,$880,Digitals
The Guy - Van Gogh - Limited Edition of 5,61,61,0.3,Ekow Brew,Ghana,$940,Digitals
Pink Pastel Venus - Limited Edition of 1,60,60,1,Francesca Fini,Italy,"$3,770",Digitals
Sugar Cotton Eclipse,45,60,0.1,Petra Brnardic,Croatia,"$3,740",Digitals
Shiba Inu checking messages,52.9,52.9,0.1,Alvaro Ortega Lopez,,$960,Digitals
The Adventures Of Lulù,80,80,0.1,Massimo Grassi,,$460,Digitals
MAR - Limited Edition of 10 Photograph,90,67.5,1,Rafael Campezato,Brazil,"$1,459",Digitals
The Cave,18,20,0.1,Lavinia Wanjau,,"$1,430",Digitals
Guilt,86.4,86.4,0.1,Mohammad Oweini,Lebanon,"$5,450",Digitals
Balance I,30,40,1,Isabella Thermes,Germany,$270,Digitals
Fortune Smiles,66,66,1,Kin Karol Fetalver,Philippines,$820,Digitals
Mega Sails #1,60,60,0.1,Vasco Grilo,,$190,Digitals
butterfly 44.,76.2,114.3,3.8,Jason Lincoln Jeffers,United States,"$4,110",Digitals
KONG 2,18,27,0.2,Freegar Net,Mexico,$250,Digitals
Rose 5,50,50,3,Claudio Javier Feldman Pincas,Belgium,"$1,360",Digitals
The Oneiroi,83.6,39.9,0.3,Klaus Rudolph,Germany,$840,Digitals
Elvis '70,112.7,80,0.1,Mario Ubaldino,Italy,$710,Digitals
Ghost Queen,44,60,0.1,Petra Brnardic,Croatia,"$3,570",Digitals
Winning,60,80,0.1,PAUL DICKINSON,,"$4,300",Digitals
FORCED LIGHT 11,60,60,0.1,Paul Harrison,,$975,Digitals
All That Jazz,121.9,71.1,0.3,Katy Breen,United States,$240,Digitals
My Colorful Africa #27,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
Elizabeth,100,100,2.5,Paolo Ferraina,Italy,$950,Digitals
The truth will free you,58,97.5,0.5,Maja Pavlovska - Maja Angel  ICA,Netherlands,"$8,687",Digitals
It’s All Happening,40,50,1,Sheena Lennox,United Kingdom,$660,Digitals
Magic House,76.2,50.8,2.8,Leigh Nelson,Canada,$910,Digitals
